Parameters;precision-pbr-mean;precision-pbr-std;recall-pbr-mean;recall-pbr-std;f1-score-pbr-mean;f1-score-pbr-std;auc_roc-pbr-mean;auc_roc-pbr-std;accuracy-pbr-mean;accuracy-pbr-std;time-pbr-mean;time-pbr-std;precision-inq-mean;precision-inq-std;recall-inq-mean;recall-inq-std;f1-score-inq-mean;f1-score-inq-std;auc_roc-inq-mean;auc_roc-inq-std;accuracy-inq-mean;accuracy-inq-std;time-inq-mean;time-inq-std;precision-irr-mean;precision-irr-std;recall-irr-mean;recall-irr-std;f1-score-irr-mean;f1-score-irr-std;auc_roc-irr-mean;auc_roc-irr-std;accuracy-irr-mean;accuracy-irr-std;time-irr-mean;time-irr-std;precision;recall;f1-score;auc_roc;accuracy;time
OCSVM_kernel-linear_auto_02_;0.09361482230203669;0.003673677648916335;0.7424825174825175;0.037405444808717984;0.1662627064754538;0.006710969274681627;0.8548053553269245;0.011628772380264437;0.7902211112095072;0.00210718728833859;109.66318185329438;8.67166476698326;0.0812914518429062;0.0026408604152725655;0.7327272727272728;0.025454545454545452;0.14634184801551825;0.004712670785084884;0.8610215247715247;0.013329233858424414;0.8259163272861902;0.003261626729246518;77.17885239124298;4.553122014674961;0.10984625614657287;0.0036976209323601127;0.7060890922548955;0.027165562037875107;0.19011550669885485;0.006520662991046743;0.34187496527073896;0.010196955616787816;0.20660401128391664;0.0036598690212367;258.70136148929595;23.638437390214662;0.09491751009717192;0.7270996274882285;0.16757335372994228;0.6859006151230628;0.6075804832598714;148.5144652446111
OCSVM_kernel-linear_auto_03_;0.10023414936071806;0.00536717898118314;0.6562208624708624;0.0472754474734334;0.17389555875554963;0.009718129022427174;0.8385127374027475;0.013260097067885421;0.8244651429356644;0.0022244880100701354;150.06958310604097;6.481782863236678;0.09481903930681215;0.003188555219589047;0.6527272727272728;0.023983465378678032;0.16557685210387446;0.0055241882734873;0.8628803339517626;0.015300731697259954;0.8660310995927434;0.002563781697354737;116.61043243408203;11.154928285648626;0.10980194289473419;0.00432441314118944;0.6503216472646525;0.029939315480007625;0.18788040372255027;0.007579302457815471;0.3725330566203063;0.009460239998864335;0.25861424286553597;0.0029656082315288215;354.16279516220095;17.895377967964194;0.10161837718742146;0.653089927487596;0.1757842715273248;0.6913087093249387;0.6497034951313146;206.94760356744132
OCSVM_kernel-linear_auto_04_;0.11051331093059398;0.00570779904361815;0.5726835664335664;0.035748237815859896;0.18526650816486043;0.009856678244469013;0.8286081071916088;0.014659144726741936;0.8581206816681337;0.001609614283968348;176.3052063703537;13.99826331609965;0.10604603607081928;0.004996778207462525;0.5654545454545454;0.033228485240903764;0.17858772305271847;0.008675452260944665;0.8631682470968185;0.016098601831796407;0.8941318030359126;0.001640032991986897;131.63422312736512;12.048551741235809;0.10767047169915862;0.004675760927470586;0.5792463495054168;0.029077687990697283;0.1815861756986288;0.008077756862291736;0.38374973161492265;0.008867422998658505;0.3114799006112395;0.003086922938117826;419.95149743556976;48.04612879754295;0.10807660623352396;0.5724614871311762;0.1818134689720692;0.6918420286344501;0.6879107951050952;242.63030897776287
OCSVM_kernel-linear_auto_05_;0.130592736510637;0.00803280019536873;0.48022533022533026;0.037764698284459525;0.2053217279228277;0.013300253660727021;0.8208893576571427;0.015003676942905147;0.8953458516277664;0.0015758841282304318;231.4118426799774;26.60139916815447;0.1283311147396167;0.008809335986786593;0.4781818181818182;0.04363636363636365;0.2023306363189113;0.014801396095897179;0.8640278636707208;0.016731356052417195;0.9233432062199187;0.001018814358076043;169.38436157703399;17.297221949984642;0.10509105950931288;0.0038998862834554553;0.48897584281003964;0.023229984654562046;0.17299780087541675;0.006735824845044358;0.38623580390477974;0.00904810176221778;0.383575845749318;0.001629669149315585;486.4215287208557;69.64785628410853;0.1213383035865222;0.48246099707239604;0.1935500550390519;0.6903843417442145;0.734088301199001;295.73924432595567
OCSVM_kernel-linear_auto_06_;0.13790400585232254;0.01112956537514401;0.37859362859362855;0.040417270365135344;0.2021307550376681;0.01768098472675128;0.8111720308926413;0.01496857134424851;0.9159393594894837;0.001053085220912547;257.6340407371521;23.065127446040382;0.138929013828006;0.010430025802104064;0.37727272727272726;0.0392596779667076;0.20303544611021832;0.01676909219675972;0.859642427678142;0.01691871067749044;0.9398185857089965;0.0006436630377902069;219.01395654678345;27.548457050411287;0.09938325070747248;0.00348601969815214;0.3849518874907476;0.016519655405266967;0.15797846114778014;0.005787992972223815;0.3918996783145414;0.008769769353326523;0.4588537462682968;0.0019760036830052292;770.6873627901077;87.47257053965251;0.12540542346260034;0.38027274778570114;0.18771488743188883;0.687571378961775;0.7715372304889256;415.7784533580145
OCSVM_kernel-linear_auto_07_;0.15975104127089268;0.022583093223411302;0.2881604506604507;0.051641656177246587;0.2054558004911217;0.03185743727008366;0.7988413549254871;0.014938996421069868;0.9375331250190901;0.000979757038925104;480.8883476257324;115.16329322196023;0.15407724071161202;0.01693648666261525;0.2854545454545455;0.04028821782938243;0.2000700320553001;0.02421853526907691;0.8530964405964406;0.016498779829862007;0.9536838208071083;0.000522278266555541;239.7368566274643;32.70862654311827;0.09481531106531403;0.004832349175286406;0.2931128457035193;0.017134674353880393;0.14328015752728712;0.007561701451365703;0.4007815067105751;0.009248261672250855;0.5377929602203768;0.0020899568347036335;676.3662927389145;30.846522096263413;0.13621453101593958;0.2889092806061719;0.18293533002456966;0.6842397674108343;0.8096699686821918;465.66383233070366
OCSVM_kernel-linear_auto_08_;0.1861748054019385;0.02244595431743208;0.19489121989121988;0.033849683477107616;0.19027209730709144;0.027902475111424387;0.7913955323043366;0.015300707708052605;0.953497966624122;0.0004662136160901038;304.5739193439484;14.580785692130101;0.14946163825570938;0.017402033985448012;0.18454545454545454;0.02604827051253528;0.1651183247940257;0.021037879533454516;0.8450167491238918;0.01630486733695923;0.962088115512773;0.0005352399961051977;253.04304871559142;19.63232718594795;0.08662592691386772;0.007261812381964389;0.19713478231612946;0.01921641866648343;0.12035678257107225;0.01058751717204428;0.40356212915282724;0.00954809523167085;0.6202566067744245;0.0012652017496859616;754.4168791532517;31.034496966770305;0.14075412352383854;0.19219048558426796;0.15858240155739647;0.6799914701936851;0.8452808963037731;437.34461573759717
OCSVM_kernel-linear_auto_09_;0.220702589229773;0.031165592599619478;0.09392482517482517;0.020575676747132773;0.13154967259150827;0.025624979590713352;0.78509943904621;0.015411185272409499;0.9652460412894903;0.0003376046621477372;334.9992861032486;11.123364240885651;0.15860727086533538;0.03482158904419187;0.08818181818181818;0.022654428717049296;0.11329859369734743;0.027600561847570985;0.8375179516250946;0.016066377232379206;0.9720103665309147;0.00046684636108546555;278.9815442562103;15.845337100470834;0.08130345869019842;0.01116281433611312;0.09856739115806475;0.016200549090949604;0.08909017555546879;0.013294993428119857;0.40256624526153634;0.00982926319401417;0.7347134517877637;0.0012662271844319814;808.1399295091629;29.9312787399816;0.1535377729284356;0.09355801150490269;0.11131281394810816;0.6750612119776136;0.8906566198693896;474.04025328954066
OCSVM_kernel-poly_2_scale_01_;0.1676201533069011;0.010458129582145521;0.5282051282051282;0.04049875360589481;0.25445586226185746;0.016617991571134586;0.871438692208117;0.011416768458331535;0.9128405972878628;0.0017926227390588523;190.99598031044007;15.296574308877544;0.14032456928445086;0.008441929957497759;0.46454545454545454;0.034124226143860834;0.21552472731820269;0.013568580457412825;0.8808364254792826;0.01600065248297575;0.9311921510551647;0.0010208304834477648;157.7694897890091;10.83498475866059;0.11283055285236906;0.004479788500549885;0.6951914406836687;0.030089617947850856;0.1941496091783693;0.007801520643792866;0.3798425685959103;0.010875723386739384;0.23887076065746818;0.005686022100549772;213.07290613651276;15.507483264958406;0.140258425147907;0.5626473411447505;0.2213767329194765;0.71070589542777;0.6943011696668319;187.27945874532065
OCSVM_kernel-poly_2_scale_02_;0.16923362764524766;0.01145027364135454;0.46834693084693085;0.04605759664896788;0.24854888444837714;0.018616365090528532;0.857750263247236;0.01286987046695427;0.9203523548760051;0.0017766060632167643;196.60039846897126;5.902389550490165;0.1455855451652099;0.009034819045736312;0.4418181818181818;0.03548949326535115;0.218980914422977;0.014499024004492713;0.8751948910877483;0.01626559630893927;0.9358941132913736;0.0009368071772587846;157.262766456604;13.286311488987883;0.1133321080447633;0.00422267400917835;0.6363111499899065;0.02632711261457556;0.19239619154974813;0.007285729407552647;0.39942629236681404;0.009836996842685781;0.2954662834799554;0.004363187969276931;304.0189652442932;13.976952069363724;0.14271709361840695;0.5154920875516731;0.21997533014036744;0.7107904822339327;0.7172375838824446;219.29404338995616
