Parameters;pbr_precision-mean;pbr_precision-std;pbr_recall-mean;pbr_recall-std;pbr_f1-score-mean;pbr_f1-score-std;inq_precision-mean;inq_precision-std;inq_recall-mean;inq_recall-std;inq_f1-score-mean;inq_f1-score-std;irr_precision-mean;irr_precision-std;irr_recall-mean;irr_recall-std;irr_f1-score-mean;irr_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
MNB_alpha 0.5_fit_prior_;0.6866743821006688;0.01742830878014189;0.845522533022533;0.0343924138060122;0.7575479093670697;0.019605818091271206;0.534458249845587;0.028382387862065924;0.7645454545454544;0.03866576421479407;0.6286882918890282;0.027961127348851634;0.9626401361812442;0.01053385217480738;0.7605632191642554;0.012796947029204813;0.8496867913288382;0.009789581830909982;0.7279242560425001;0.014368043577093332;0.7902104022440809;0.017916363277793515;0.7453076641949787;0.01589501922501871;0.780348200312989;0.013696511360615268;0.05085535049438476;0.008944080523576108
MNB_alpha 0.5_;0.696376685803809;0.011585606522017271;0.8315947940947941;0.03680117736121554;0.7576886167417451;0.01909139021070435;0.49337398809466765;0.022714036864197252;0.7990909090909091;0.034124226143860834;0.6097255189969496;0.023066980179126898;0.9699589960483289;0.009510410526072514;0.7276165803108808;0.015515629336873714;0.8313971243892043;0.011410632449938613;0.7199032233156017;0.012007500583585323;0.786100761165528;0.016453509948573673;0.7329370867092997;0.014182580834376426;0.7632968994522692;0.013145589504181068;0.05849387645721436;0.023277135301660607
MNB_alpha 0.4_fit_prior_;0.6866743821006688;0.01742830878014189;0.845522533022533;0.0343924138060122;0.7575479093670697;0.019605818091271206;0.534458249845587;0.028382387862065924;0.7645454545454544;0.03866576421479407;0.6286882918890282;0.027961127348851634;0.9626401361812442;0.01053385217480738;0.7605632191642554;0.012796947029204813;0.8496867913288382;0.009789581830909982;0.7279242560425001;0.014368043577093332;0.7902104022440809;0.017916363277793515;0.7453076641949787;0.01589501922501871;0.780348200312989;0.013696511360615268;0.040312790870666505;0.00467737903025112
MNB_alpha 0.4_;0.696376685803809;0.011585606522017271;0.8315947940947941;0.03680117736121554;0.7576886167417451;0.01909139021070435;0.49337398809466765;0.022714036864197252;0.7990909090909091;0.034124226143860834;0.6097255189969496;0.023066980179126898;0.9699589960483289;0.009510410526072514;0.7276165803108808;0.015515629336873714;0.8313971243892043;0.011410632449938613;0.7199032233156017;0.012007500583585323;0.786100761165528;0.016453509948573673;0.7329370867092997;0.014182580834376426;0.7632968994522692;0.013145589504181068;0.0411238431930542;0.007732791150644546
MNB_alpha 0.3_fit_prior_;0.6866743821006688;0.01742830878014189;0.845522533022533;0.0343924138060122;0.7575479093670697;0.019605818091271206;0.534458249845587;0.028382387862065924;0.7645454545454544;0.03866576421479407;0.6286882918890282;0.027961127348851634;0.9626401361812442;0.01053385217480738;0.7605632191642554;0.012796947029204813;0.8496867913288382;0.009789581830909982;0.7279242560425001;0.014368043577093332;0.7902104022440809;0.017916363277793515;0.7453076641949787;0.01589501922501871;0.780348200312989;0.013696511360615268;0.042067742347717284;0.0034722704315025095
MNB_alpha 0.3_;0.696376685803809;0.011585606522017271;0.8315947940947941;0.03680117736121554;0.7576886167417451;0.01909139021070435;0.49337398809466765;0.022714036864197252;0.7990909090909091;0.034124226143860834;0.6097255189969496;0.023066980179126898;0.9699589960483289;0.009510410526072514;0.7276165803108808;0.015515629336873714;0.8313971243892043;0.011410632449938613;0.7199032233156017;0.012007500583585323;0.786100761165528;0.016453509948573673;0.7329370867092997;0.014182580834376426;0.7632968994522692;0.013145589504181068;0.03725357055664062;0.0034705684205406377
MNB_alpha 0.2_fit_prior_;0.6866743821006688;0.01742830878014189;0.845522533022533;0.0343924138060122;0.7575479093670697;0.019605818091271206;0.534458249845587;0.028382387862065924;0.7645454545454544;0.03866576421479407;0.6286882918890282;0.027961127348851634;0.9626401361812442;0.01053385217480738;0.7605632191642554;0.012796947029204813;0.8496867913288382;0.009789581830909982;0.7279242560425001;0.014368043577093332;0.7902104022440809;0.017916363277793515;0.7453076641949787;0.01589501922501871;0.780348200312989;0.013696511360615268;0.036682415008544925;0.0037372843642432493
MNB_alpha 0.2_;0.696376685803809;0.011585606522017271;0.8315947940947941;0.03680117736121554;0.7576886167417451;0.01909139021070435;0.49337398809466765;0.022714036864197252;0.7990909090909091;0.034124226143860834;0.6097255189969496;0.023066980179126898;0.9699589960483289;0.009510410526072514;0.7276165803108808;0.015515629336873714;0.8313971243892043;0.011410632449938613;0.7199032233156017;0.012007500583585323;0.786100761165528;0.016453509948573673;0.7329370867092997;0.014182580834376426;0.7632968994522692;0.013145589504181068;0.0396315336227417;0.0049783682411325214
MNB_alpha 0.1_fit_prior_;0.6866743821006688;0.01742830878014189;0.845522533022533;0.0343924138060122;0.7575479093670697;0.019605818091271206;0.534458249845587;0.028382387862065924;0.7645454545454544;0.03866576421479407;0.6286882918890282;0.027961127348851634;0.9626401361812442;0.01053385217480738;0.7605632191642554;0.012796947029204813;0.8496867913288382;0.009789581830909982;0.7279242560425001;0.014368043577093332;0.7902104022440809;0.017916363277793515;0.7453076641949787;0.01589501922501871;0.780348200312989;0.013696511360615268;0.03853275775909424;0.003827493447850309
MNB_alpha 0.1_;0.696376685803809;0.011585606522017271;0.8315947940947941;0.03680117736121554;0.7576886167417451;0.01909139021070435;0.49337398809466765;0.022714036864197252;0.7990909090909091;0.034124226143860834;0.6097255189969496;0.023066980179126898;0.9699589960483289;0.009510410526072514;0.7276165803108808;0.015515629336873714;0.8313971243892043;0.011410632449938613;0.7199032233156017;0.012007500583585323;0.786100761165528;0.016453509948573673;0.7329370867092997;0.014182580834376426;0.7632968994522692;0.013145589504181068;0.04142153263092041;0.006215740930865271
MNB_alpha 0.0_fit_prior_;0.6866743821006688;0.01742830878014189;0.845522533022533;0.0343924138060122;0.7575479093670697;0.019605818091271206;0.534458249845587;0.028382387862065924;0.7645454545454544;0.03866576421479407;0.6286882918890282;0.027961127348851634;0.9626401361812442;0.01053385217480738;0.7605632191642554;0.012796947029204813;0.8496867913288382;0.009789581830909982;0.7279242560425001;0.014368043577093332;0.7902104022440809;0.017916363277793515;0.7453076641949787;0.01589501922501871;0.780348200312989;0.013696511360615268;0.04172892570495605;0.007122123978243193
MNB_alpha 0.0_;0.696376685803809;0.011585606522017271;0.8315947940947941;0.03680117736121554;0.7576886167417451;0.01909139021070435;0.49337398809466765;0.022714036864197252;0.7990909090909091;0.034124226143860834;0.6097255189969496;0.023066980179126898;0.9699589960483289;0.009510410526072514;0.7276165803108808;0.015515629336873714;0.8313971243892043;0.011410632449938613;0.7199032233156017;0.012007500583585323;0.786100761165528;0.016453509948573673;0.7329370867092997;0.014182580834376426;0.7632968994522692;0.013145589504181068;0.04152212142944336;0.00810048318786289
